artist_id,name,popularity,followers,genres
6MXHMKs1wfM2POzcZLKz0k,Esther Marisol,32,2551,['andean']
7gjsdapfofatFrts50jPoF,Canto Popular,14,277,[]
0iw0Jy3qkvqcDpGJvIRFRw,William Luna,53,91624,"['andean', 'folklore peruano', 'huayno', 'peruvian rock', 'pop peruano']"
7IpURvlebGn1tpKNFE6dVr,Duo Larrea Uriarte,13,198,['folklore boliviano']
4ooyae64t1DFiWd1UnJ5d4,Octavia,38,10298,['bolivian rock']
6gWVXK2R7WYXTqxULGAyfx,Illapu,59,164552,"['andean', 'latin rock', 'nueva cancion']"
4MKny2jNcr8bDjPM3bAlPl,Rodrigo Rojas,36,14389,"['cantautor', 'nueva cancion', 'trova']"
1JypRMOBn4rkHvWMOT694Q,Nanda Manachi & Savia Andino,15,129,[]
1oSjEboJJSXlknQs0w3t54,Julio Rocabado,11,185,"['andean', 'charango', 'folklore boliviano']"
3d3pm23Qc0Pa9v1mQqTtj2,Los 4 De Cordoba,33,8948,"['chamame', 'folklore argentino']"
2myIDaxjfoXTqp1Bxf6LZq,Signo Rap,25,11068,[]
3M2lcymTGjn5Zep3mQEUBe,Siempre Mayas,19,1213,['folklore boliviano']
3U5KZkwiSmACysZTJIvjgU,Grupo Veneno,48,3676,['cumbia boliviana']
0Cm4ZmZp36AlC4CEa1Okzg,Miguel Angel ElGenio,39,23781,[]
6UVAmQXyP4ojWcS5nHWUBs,Gerardo Arias,16,75,[]
5nerlXgmkkutK76kjPNjCr,Luzmila Carpio,35,9277,"['andean', 'folklore boliviano', 'latintronica']"
05c0eIYflmDPeu1mC1eDrg,Grupo Karacol & Adanis Delgado,11,103,[]
3JfbO4rk0FLKe1zIiTgWAr,Andesur,33,1228,[]
1bCReWtNr9XkS0fQ3XbmpZ,Grupo Iberia de Bolivia,2,1642,['cumbia boliviana']
7lSEhjNY84UBf5VjpjwoLB,Los Puntos,34,9939,"['pop romantico', 'rock andaluz', 'spanish invasion']"
685o6XB8DXyM44ukdU5ebX,Scooby Groovy Doo,1,249,[]
6E8IfauTjGFCRfblooH3Jq,Agrupación Sin Ley,24,1474,['cumbia boliviana']
7CVgowEHt62WkE5bnnu5JB,Semilla,25,1329,['folklore boliviano']
06B6e0qeNzvfmGB5XnBtng,Tupay Bolivia,25,1117,['folklore boliviano']
0NteB9nhib2gnBQti5C5PN,Runakay Bolivia,0,54,['salay']
2wcQ9ygMF236f1YkkrlT2D,Alcoholika La Christo,26,2714,"['bolivian metal', 'bolivian rock']"
6gTTDix3FA5TyyW4iEx9aR,Ángel Bedrillana,28,2800,"['huayno', 'musica ayacuchana']"
5J6zAv32C1JH6if552R3hr,Montellano,0,30,[]
3NeM8H9XMDgWbufVRFXK4y,Gran Matador,4,244,['cumbia boliviana']
3AZ0RKW5CVI2uD6Mr3ZLcD,America Pop,1,1025,['cumbia boliviana']
7rsWpmBlaDWndspQrhyMkC,Magoman,0,5,[]
3kDYHMy6GYj6ejaD2D6MTN,Awatiñas,28,5415,['andean']
5xG49Z6oTxlm0cAT0kusXB,Fer Angell,31,4438,[]
6bQ0Hgnl6AvtfTjUTtHWU2,Jorge Eduardo,16,320,['cumbia boliviana']
79mfUFvaLla5CSSjLMm0F7,Los Gutierrez,24,452,['salay']
6nMF6YlMYvHKc41xxlaoON,Yalo Cuellar,28,900,['folklore boliviano']
033ki1tu7MbVUn1nhuD2yV,Juan Solo,50,57383,['mexican pop']
0a8lwCnBzG9BkW821GvrmU,William Ernesto Centellas,18,1250,"['andean', 'charango']"
6B9hIrdZXur6eQKsCDtqM0,Grupo Conexión de Bolivia,0,364,['cumbia boliviana']
45KlD9kfCouyPINcMgPfdQ,Deszaire,28,2495,['bolivian rock']
0O03nXz3ap5XT9ptfwijtH,William E. Centellas,5,216,['charango']
