artist_id,name,popularity,followers,genres
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,910268,[]
4cCVNFShP38zaKGuo8QSMN,Inti-Illimani,53,168138,"['andean', 'latin rock', 'nueva cancion', 'trova']"
6gWVXK2R7WYXTqxULGAyfx,Illapu,59,164456,"['andean', 'latin rock', 'nueva cancion']"
58LNn3iNPmmHusH1EkyBm4,Maria Dolores Pradera,55,136346,"['bolero', 'cancion melodica', 'cantautor', 'flamenco', 'nueva cancion', 'ranchera', 'trova']"
37zUz0gjTaNCWTOymnuWGG,Jambao,56,134307,"['cuarteto', 'cumbia villera']"
1wkImvL5XLLhrNcmX7sVt4,Rodrigo Tapari,62,126042,['cumbia villera']
2CEKDXUTkOu4LnGFysySTg,Sebastian Mendoza,54,118216,['cumbia villera']
6wAk3K9nxqR0pTLGLctzQu,Tambó Tambó,51,58822,['cumbia villera']
72kCHSLbK0D94Bgpo7G4sJ,Roman El Original,55,31105,['cumbia pop']
0QE0OwxiJZ9i51N8zIS1Yy,Felinos,8,28903,['chunchaca']
6Y4g5zwJI7jcRzGLXh0H5d,Angela Leiva,47,89171,['cumbia villera']
0Cm4ZmZp36AlC4CEa1Okzg,Miguel Angel ElGenio,39,23768,[]
3w4atQT7lgaveACV9c3yjR,Aguilas de America,36,18522,['cumbia surena']
0tMEHta5p06GCSdnSPNS8B,Roberto Torres,45,18081,"['charanga', 'latin jazz', 'salsa', 'salsa international']"
4MKny2jNcr8bDjPM3bAlPl,Rodrigo Rojas,36,14383,"['cantautor', 'nueva cancion', 'trova']"
1awM9pU9YYmh9RFxIhOnAX,Grupo Enlace,41,12294,['cumbia surena']
2myIDaxjfoXTqp1Bxf6LZq,Signo Rap,25,11059,[]
1f8KqVQNiSJ95tiWLjTevq,Grupo Ternura,41,10442,['cumbia villera']
7lSEhjNY84UBf5VjpjwoLB,Los Puntos,34,9933,"['pop romantico', 'rock andaluz', 'spanish invasion']"
1uvxq0pWC1f55Yg9XmgLnW,Yawar,36,8797,"['andean', 'musica ayacuchana']"
43dk20SKTmATixoiv0pKoz,Los Calchakis,35,6039,"['andean', 'andean flute', 'charango', 'nueva cancion']"
5xG49Z6oTxlm0cAT0kusXB,Fer Angell,31,4425,[]
1m25tt7dfl7f5YMReYb94Q,Grupo Bandy2,39,2868,[x'folclore jujeno']
6gTTDix3FA5TyyW4iEx9aR,Ángel Bedrillana,28,2795,"['huayno', 'musica ayacuchana']"
5HSw372vFrMzaMKcPP0XZI,Miguel Angel ElGenio,14,19,[]
7orfqbmT9JglVNcfXjv5bK,Pelo D' Ambrosio,0,46,[]
6DBvCN9S1NBzGSbs6drN62,MEGAPUESTA,0,8832,[]
