artist_id,name,popularity,followers,genres,img_url
0LyfQWJT6nXafLPZqxe9Of,Various Artists,0,914515,[],https://i.scdn.co/image/8987540724d78afbf9f9249638eefcef38c0853b
5ZAR5Usb11xw4KENbEE8uZ,Agua Marina,61,524619,['cumbia peruana'],https://i.scdn.co/image/d6e0f3f82d5d242d7cfbdf2bb094ac2ae59749a4
43qxAkuKFB6fMNSeS5dO7Z,Ana Bárbara,67,511934,"['grupera', 'latin', 'mexican pop', 'ranchera']",https://i.scdn.co/image/510721a7c53cf6851c8c49c0c5d285109370ff18
5xwugJ4uudppmOCCZateE5,Liberación,67,492297,"['banda', 'cumbia', 'grupera', 'gruperas inmortales', 'norteno', 'regional mexican', 'tejano']",https://i.scdn.co/image/3dae94769c5b4b0bd373a3552d86dbaa72ced819
6pVmT18pd1QaofDegZUEKX,La Nueva Luna,63,355539,"['argentine rock', 'cumbia pop', 'cumbia villera']",https://i.scdn.co/image/1afe01e330becd1e9d72b1dcc92aea714521d3a3
1bwsprbGyKx2vBbPAwVebl,Noche de Brujas,60,329957,"['cumbia chilena', 'cumbia ranchera']",https://i.scdn.co/image/f74da5451379ec47ceef20c241689b545ce8f793
0CBKUzrf6yGdTgxAQbUUHS,Rafaga,64,328990,"['cumbia chilena', 'cumbia villera']",https://i.scdn.co/image/23db8a49d3f66a1499d7aaeaf70481ecd264ebf1
3NLDQVyI2LVtQFJt8JeAAx,Guardianes Del Amor,59,307276,"['cumbia', 'cumbia sonidera', 'duranguense', 'grupera', 'regional mexican']",https://i.scdn.co/image/b3c4281ef776ba58fa74c19250659bae38bdf9d5
1GlOpg3dPUft550esb82K3,Chaqueño Palavecino,61,260066,"['chamame', 'cumbia villera', 'folclore salteno', 'folklore argentino']",https://i.scdn.co/image/5b11e684db703caddbdd97db93c7bb324783b819
6fBjnfeYEU3VFuQl8RPrp8,Samuray,59,226354,"['banda', 'cumbia', 'cumbia sonidera', 'duranguense', 'grupera', 'gruperas inmortales', 'regional mexican']",https://i.scdn.co/image/b46778ab868535cd749f2a491208ceb460f44de1
4XVWGb0bUVdiBhmWbSKSF3,Maniako,48,220412,['mexican hip hop'],https://i.scdn.co/image/ab67616d0000b273fd2de96c8c1dd5a465f09abc
0WnP62TjkFfRrt52yE8zcX,Lucas Sugo,61,200865,"['canto popular uruguayo', 'cumbia pop', 'cumbia uruguaya']",https://i.scdn.co/image/97a4919443e43be5b05435e0e54378e0bf4dc34d
6eUAVH8tSq8WSJGPLeDN9c,Américo,59,195528,['cumbia chilena'],https://i.scdn.co/image/a7559424b0d5acb708b75eef7471011a0884403b
67ktO6WKPZ0h4cBxSBBoep,Grupo Nectar,53,186673,"['cumbia peruana', 'peruvian rock']",https://i.scdn.co/image/ab67616d0000b2733888faae7b51cb5abd4d30cd
4cCVNFShP38zaKGuo8QSMN,Inti-Illimani,53,168565,"['andean', 'latin rock', 'nueva cancion', 'trova']",https://i.scdn.co/image/bad9b1ff18d94a04cf51461f475f7f61d89606bd
6gWVXK2R7WYXTqxULGAyfx,Illapu,59,164943,"['andean', 'latin rock', 'nueva cancion']",https://i.scdn.co/image/0d3471ea94cefb7e6c029b5987b56044ddf7cd57
0iutktJLkNNtErs8c3EoF6,Los Tekis,53,158891,"['chamame', 'cumbia andina mexicana', 'folclore jujeno', 'folklore argentino']",https://i.scdn.co/image/e541609ab314f9b1bd62838cd83aa528fc1e2dce
58LNn3iNPmmHusH1EkyBm4,Maria Dolores Pradera,55,136796,"['bolero', 'cancion melodica', 'cantautor', 'flamenco', 'nueva cancion', 'ranchera', 'trova']",https://i.scdn.co/image/ff22f4dabc93f99c7f4a5f9ae3a60399231db848
37zUz0gjTaNCWTOymnuWGG,Jambao,56,134946,"['cuarteto', 'cumbia villera']",https://i.scdn.co/image/e9fcf1dfc4b501f2a25210ee3b133a298e2ef8a2
1wkImvL5XLLhrNcmX7sVt4,Rodrigo Tapari,62,128194,['cumbia villera'],https://i.scdn.co/image/7acfa7a528c5809c33bb98a505fb82ea94af7877
2CEKDXUTkOu4LnGFysySTg,Sebastian Mendoza,55,118644,['cumbia villera'],https://i.scdn.co/image/35a67cd9b627c9e78242a2325316326704255b60
0tkboyBYNymYytYlb9EXkN,Los Kjarkas,56,97402,"['andean', 'charango', 'folklore boliviano']",https://i.scdn.co/image/79cf21eb7afee7040e0bc3c4e4a78df6567bc65d
0iw0Jy3qkvqcDpGJvIRFRw,William Luna,54,91982,"['andean', 'folklore peruano', 'huayno', 'peruvian rock', 'pop peruano']",https://i.scdn.co/image/ab67616d0000b273ee181004d0c7608304accd57
6Y4g5zwJI7jcRzGLXh0H5d,Angela Leiva,48,89392,['cumbia villera'],https://i.scdn.co/image/1cae992f115de2f0d703e24b64eaee72f5a8507a
1cKkCkJkKegHCRYx02lBI6,Antologia,53,80956,"['andean', 'classic peruvian pop', 'huayno', 'musica ayacuchana', 'peruvian rock']",https://i.scdn.co/image/e9420d9abba3c3b2ba0d3c51d66a2a5db3ae9a48
74pSnYkITpgS26sL4xouhZ,Dúo Hnos. Gaitán Castro,44,71738,"['classic peruvian pop', 'folklore peruano', 'huayno', 'musica ayacuchana']",https://i.scdn.co/image/ab67616d0000b273b87848a704916f0482dbf03b
6wAk3K9nxqR0pTLGLctzQu,Tambó Tambó,51,59035,['cumbia villera'],https://i.scdn.co/image/ab67616d0000b273a7b728140d1ef1a9007633cf
033ki1tu7MbVUn1nhuD2yV,Juan Solo,50,57437,['mexican pop'],https://i.scdn.co/image/4a3119bba237145d3a6c2f66c0d45080814a26b9
2UNMW1OKE0X1cwJHWER67g,Banda Conmoción,40,50250,"['andean', 'chicha', 'cumbia chilena', 'nueva cancion']",https://i.scdn.co/image/fd07bf40e4b1a57197b6e0d81cec2ace73ef0de4
30DQw23SjsbMLFlhia84jN,Elias Ayaviri,48,47402,['hip hop boliviano'],https://i.scdn.co/image/d031b0c224b238177d54b117d2b12b36b63c960f
3JY4oF6rBQ45FSVUJtXixb,Los Fronterizos,41,43958,"['chamame', 'folclore salteno', 'folklore argentino', 'nueva cancion']",https://i.scdn.co/image/ab67616d0000b2735d37b587a3bb4d5880af2fe4
7d1wBAl5FEvOENbACiZIYZ,Pelo D'Ambrosio,44,38373,"['cumbia peruana', 'folklore peruano']",https://i.scdn.co/image/276a009050aee1e5a8b89fe46e5108a1e6fa1b14
2oM7LqPaoCUcHHHnsTtgn1,Bonny Lovy,47,35370,"['cumbia boliviana', 'pop reggaeton']",https://i.scdn.co/image/782b72dd80898104191c44aabe6b7aad8440874f
72kCHSLbK0D94Bgpo7G4sJ,Roman El Original,55,31246,['cumbia pop'],https://i.scdn.co/image/c3f88e17fb6fe8e2f76b5bb74cead0c90d17e9fb
0QE0OwxiJZ9i51N8zIS1Yy,Felinos,7,28902,['chunchaca'],
0hkFv9719WLJ2uupZTn0ru,Savia Andina,44,27832,"['andean', 'folklore boliviano']",https://i.scdn.co/image/2aa0046a50d2b0a7fb1412017d31c49067a1b35f
4HcGgJfuL2hasQmHIykVF3,Los Ronisch,21,26353,"['cumbia peruana', 'cumbia surena']",https://i.scdn.co/image/ab67616d0000b273ddf406af8225d15b33056cc3
65HeWoVlrScT9hxZkkXgIg,La Lenta Love Rap,33,25072,['peruvian hip hop'],https://i.scdn.co/image/cd68b9d7bdc2841739ba13a4af4b10ee625e9aa5
0Cm4ZmZp36AlC4CEa1Okzg,Miguel Angel ElGenio,39,23859,[],https://i.scdn.co/image/af2b19668e1dee2c105adf529b41c6435050a0bd
119DPASXtwEkIiAoRSOUR8,Proyección,43,19842,"['andean', 'folklore boliviano']",https://i.scdn.co/image/ab67616d0000b273b9306d26578b5fd30de08737
0YykZZ5GBtvN0rOjEMIiK6,Adrián y Los Dados Negros,51,19133,"['cumbia chilena', 'cumbia ranchera']",https://i.scdn.co/image/ab67616d0000b273f985608982c406c983095200
3w4atQT7lgaveACV9c3yjR,Aguilas de America,35,18518,['cumbia surena'],
0tMEHta5p06GCSdnSPNS8B,Roberto Torres,45,18176,"['charanga', 'latin jazz', 'salsa', 'salsa international']",https://i.scdn.co/image/ab67616d0000b273c595de71af69acc1fb7e8fa4
7icDj3mEmk3X2phthD7iA2,Matamba,38,18070,"['bolivian rock', 'reggae en espanol']",https://i.scdn.co/image/0da37fc535fec8c6e731ca8f61f9c5a59018390f
0SWtMcmZLgP04Kj5x0eCxa,azul azul,50,16384,['latin pop'],https://i.scdn.co/image/368c867ee65a75b5b5a05278e96992d59e08104e
4Apvih9OZt9ghebGFIVcXI,Los Del Suquía,38,15726,"['chamame', 'folklore argentino']",https://i.scdn.co/image/ab67616d0000b273a5012b2ca6a1c29cdd27d5ea
0vvNxX8NjBqBZeJk4Ni3xc,Kala Marka,39,15423,['andean'],https://i.scdn.co/image/ab67616d0000b27360d4a9c6701e630ba8241e1b
1IYPsxunWpJvDYA1Por8dI,Diego Ríos,41,15345,['cumbia boliviana'],https://i.scdn.co/image/2136977d295eebc7f071fa649816423e8a5fa7fe
1pbcskpK1qePXm3sYvYu4o,Chila Jatun,42,15051,['andean'],https://i.scdn.co/image/dcfe2ab49d0de0c8a4cd3febb9db4ef07cc69c05
4MKny2jNcr8bDjPM3bAlPl,Rodrigo Rojas,36,14417,"['cantautor', 'nueva cancion', 'trova']",https://i.scdn.co/image/e4b9cfef991eb145ab37447bccc2b317bbc82236
2iALv7pTGUwcobl2VPoJPU,Los Folkloristas,38,14406,['mexican son'],https://i.scdn.co/image/5909bce7932bb1ea0c37f638aad1ce4cf6bd1159
1awM9pU9YYmh9RFxIhOnAX,Grupo Enlace,42,12380,['cumbia surena'],https://i.scdn.co/image/ab67616d0000b273e1cd89dc5a8fc32cceb07611
0AMd5Lv1a9CTAdLfbIkf8F,Tupay,38,11310,['andean'],https://i.scdn.co/image/ab67616d0000b27333ac4054b59c1fee7fe6b45d
2myIDaxjfoXTqp1Bxf6LZq,Signo Rap,25,11112,[],https://i.scdn.co/image/570f56c31a073b5b95f92fa842a5617ea12c6c35
1f8KqVQNiSJ95tiWLjTevq,Grupo Ternura,41,10479,['cumbia villera'],https://i.scdn.co/image/422899565b9c811ea4d4756040ec0377a0f67710
5nKJLG3xb64HHvE1NihEah,Jorge Velosa,39,10442,"['colombian rock', 'folclor colombiano', 'musica llanera']",https://i.scdn.co/image/ab67616d0000b273c462d266d34f30bb218d3378
4ooyae64t1DFiWd1UnJ5d4,Octavia,38,10323,['bolivian rock'],https://i.scdn.co/image/955215b2e78f8161eef0023aece58b1d003c270d
7lSEhjNY84UBf5VjpjwoLB,Los Puntos,35,9985,"['pop romantico', 'rock andaluz', 'spanish invasion']",https://i.scdn.co/image/ab67616d0000b273112505ef488ac4085be24cc4
4EBLOxVwhNdq0BbTy0M6xN,Llajtaymanta,41,9875,"['andean', 'folklore boliviano', 'huayno']",https://i.scdn.co/image/ef8d4a536e92f191ffdfe8f005fe7003c302fda7
5nerlXgmkkutK76kjPNjCr,Luzmila Carpio,35,9294,"['andean', 'folklore boliviano', 'latintronica']",https://i.scdn.co/image/c0d81b365ff1fade699c52bbe6cc959aff75a8bc
