id,name,tracks,followers,owner_name,owner_id,description
37i9dQZEVXbJqfMFK4d691,Bolivia Top 50,50,61847,spotifycharts,spotifycharts,Your daily update of the most played tracks in Bolivia right now.
2zvn0gdOKh4xiMTqn9CVAk,Bolivian Music ,179,1143,Carmen Canedo,1222614869,música boliviana
37i9dQZEVXbMTKZuy8ORFV,Bolivia Viral 50,50,11469,spotifycharts,spotifycharts,Your daily update of the most viral tracks in Bolivia.
6UdNU7zliQhLYyYEe2pFYY,Bolivia folklore ,197,1201,Jowell Ticlla,21iebp5hjbszblserre4tttjq,
6kBnDt633T7ylfaRUdanU5,BOLIVIA MANTA,34,279,ãlubã,ãlubã,
2MGqkd7u2u87tLLFyzJ7DH,Bolivia Top 100,100,176,kolibrimusic,kolibrimusic,The Top 100 tracks in Bolivia right now 🎯 Los 100 mejores éxitos del momento en Bolivia.
37i9dQZF1DXcU9MUSqc5Ok,Made in Bolivia,50,4945,Spotify,spotify,Representando la cultura con orgullo. Representing with pride!
3L0GTgyBzx3cITSPBqE5CE,Top 50 Bolivia,50,3548,kolibrimusic,kolibrimusic,The Top 50 tracks in Bolivia right now 🎯 Los 50 mejores éxitos del momento en Bolivia.
6lZcXjIcYANzBtutXzXUHt,Bolivia Años 90 - Rock/pop,128,234,Pato Peters,1270180943,
3eWL716NDY8CSDVZvh8Udo,"Elias Ayaviri, Mc J Rap ♡Rap Boliviano 🇧🇴♡",97,1176,Juan Carlos Zurita Bustos,12168646266,"En esta Playlist encontraras Rap Romantico Boliviano, De estos dos cantantes de Rap de Bolivia."
1OciHZQgk4kMSxhVYivJLQ,Martin Stephenson And The Daintees – Boat To Bolivia,67,493,paula.polly.land,paula.polly.land,
6CyUiJyJ4Enu2mCrgXlcp9,Lamento Boliviano,321,6378,Valerie Marie,valerie1193,
3vhz7F0Q7KVmAcfvay1SCa,Bolivian Hits!,168,47,Javier H. Antelo Romero,12153039644,"Música Reggae, Rock, Funk, Indie, Hard, Jazz, Metal y muchos más generos 100% de BOLIVIA!"
321jPs2Obj2j8qzroYv4S2,La Previa en Bolivia by Dj Micky,61,5290,Filtr Bolivia,i70njzkxhiqhv01720gh1eujm,Dale play y que empiece la fiesta! Foto: DJ Micky
2leeQMfgdkIEcaKXCPdWZQ,Cumbias Bolivianas ,153,473,Albina Humerez Santos,albihs,
03ZSUNsVsoAeZKExgjnhUB,"Kjarkas, Proyección, Pacha, Tupay y Chila Jatun. Bolivia.",94,1926,jfrodriguez2002,jfrodriguez2002,"Las mejores canciones del famoso grupo folklorico Los Kjarkas de Cochabamba, Bolivia. Incluye canciones de Proyección, quienes fueron sus alumnos; tambien de Pacha y de Tupay que fueron nuevos emprendimientos. Finalmente, incluye musica de Chila Jatun, quienes son sus hijos y sobrinos."
7IhQX1r2MphH86UNtA4Llo,Cumbia Boliviana y mas,182,883,David Marcelo Castillo,12138739614,
4Vo04i7qwfew7LtHukfAh8,Musica boliviana 🙂,62,2636,wilda.valencia,wilda.valencia,
3MPXWgEKvDPicO1UeXOVDs,Pk2 bolivia,32,794,amasmsd,amasmsd,
5X37Zv0r4RqMcrvup19NAI,Cuecas Bolivianas,56,1082,Alex Caballero,1232538265,
7ed0JL48relXZcPGYd3v2S,Folklore Boliviano,86,650,Walter Zetzsche,1278369470,Selección de musica boliviana. Principalmente andina pero un poco más.
3b9zB3X9JQPxrznZD5lfxy,TINKU'S  BOLIVIANOS,101,2288,Rodolfo M. Arze Flores,rodoarze,"El Tinku es una ceremonia milenaria, que se festeja en la región andina de Bolivia (actualmente en los departamentos de Potosí y Oruro). La palabra “Tinku” significa “encuentro” en Quechua (lengua descendiente de la civilización Inca VIVA BOLIVIA"
773iDD9rdBq6B3bgzCwklP,Chacareras bolivianas,52,1122,Ángel Reyes Gómez,11120039346,
4HL8IlbzOCGx28j5zHkI9U,Musica Nacional Boliviana,50,1057,Dragon Raul,12149279058,"Las canciones que no tienen tiempo, que siempre serán las representativas de Bolivia"
37i9dQZF1DXcaON5GWABL3,Top Canciones Bolivia 2019,50,2724,Spotify,spotify,Las canciones más escuchadas del año. Foto: Mau y Ricky.
5F6eeNiqNLD6cdgJ7S9GWJ,MORENADAS BOLIVIANAS,197,1062,Rodolfo M. Arze Flores,rodoarze,
2XfYxfqzUZl1ZVIF1htNQk,Cumbia boliviana del recuerdo,74,1704,Gabriel Parada Trigo,gaboparadatrigo,
