playlist_id,name,followers,tracks,owner_name,owner_id,description
37i9dQZEVXbJqfMFK4d691,Bolivia Top 50,61840,50,spotifycharts,spotifycharts,Your daily update of the most played tracks in Bolivia right now.
2zvn0gdOKh4xiMTqn9CVAk,Bolivian Music ,1146,179,Carmen Canedo,1222614869,música boliviana
37i9dQZEVXbMTKZuy8ORFV,Bolivia Viral 50,11433,50,spotifycharts,spotifycharts,Your daily update of the most viral tracks in Bolivia.
6UdNU7zliQhLYyYEe2pFYY,Bolivia folklore ,1198,197,Jowell Ticlla,21iebp5hjbszblserre4tttjq,
6kBnDt633T7ylfaRUdanU5,BOLIVIA MANTA,282,34,ãlubã,ãlubã,
37i9dQZF1DXcU9MUSqc5Ok,Made in Bolivia,4977,50,Spotify,spotify,Representando la cultura con orgullo. Representing with pride!
6lZcXjIcYANzBtutXzXUHt,Bolivia Años 90 - Rock/pop,237,128,Pato Peters,1270180943,
3L0GTgyBzx3cITSPBqE5CE,Top 50 Bolivia,3535,50,kolibrimusic,kolibrimusic,The Top 50 tracks in Bolivia right now 🎯 Los 50 mejores éxitos del momento en Bolivia.
3eWL716NDY8CSDVZvh8Udo,"Elias Ayaviri, Mc J Rap ♡Rap Boliviano 🇧🇴♡",1186,97,Juan Carlos Zurita Bustos,12168646266,"En esta Playlist encontraras Rap Romantico Boliviano, De estos dos cantantes de Rap de Bolivia."
1OciHZQgk4kMSxhVYivJLQ,Martin Stephenson And The Daintees – Boat To Bolivia,496,67,paula.polly.land,paula.polly.land,
2MGqkd7u2u87tLLFyzJ7DH,Bolivia Top 100,179,100,kolibrimusic,kolibrimusic,The Top 100 tracks in Bolivia right now 🎯 Los 100 mejores éxitos del momento en Bolivia.
6CyUiJyJ4Enu2mCrgXlcp9,Lamento Boliviano,6370,321,Valerie Marie,valerie1193,
3vhz7F0Q7KVmAcfvay1SCa,Bolivian Hits!,50,169,Javier H. Antelo Romero,12153039644,"Música Reggae, Rock, Funk, Indie, Hard, Jazz, Metal y muchos más generos 100% de BOLIVIA!"
321jPs2Obj2j8qzroYv4S2,La Previa en Bolivia by Dj Micky,5267,61,Filtr Bolivia,i70njzkxhiqhv01720gh1eujm,Dale play y que empiece la fiesta! Foto: DJ Micky
03ZSUNsVsoAeZKExgjnhUB,"Kjarkas, Proyección, Pacha, Tupay y Chila Jatun. Bolivia.",1924,94,jfrodriguez2002,jfrodriguez2002,"Las mejores canciones del famoso grupo folklorico Los Kjarkas de Cochabamba, Bolivia. Incluye canciones de Proyección, quienes fueron sus alumnos; tambien de Pacha y de Tupay que fueron nuevos emprendimientos. Finalmente, incluye musica de Chila Jatun, quienes son sus hijos y sobrinos."
2leeQMfgdkIEcaKXCPdWZQ,Cumbias Bolivianas ,496,153,Albina Humerez Santos,albihs,
4Vo04i7qwfew7LtHukfAh8,Musica boliviana 🙂,2632,62,wilda.valencia,wilda.valencia,
3MPXWgEKvDPicO1UeXOVDs,Pk2 bolivia,795,32,amasmsd,amasmsd,
2XfYxfqzUZl1ZVIF1htNQk,Cumbia boliviana del recuerdo,1716,74,Gabriel Parada Trigo,gaboparadatrigo,
7IhQX1r2MphH86UNtA4Llo,Cumbia Boliviana y mas,882,182,David Marcelo Castillo,12138739614,
7ed0JL48relXZcPGYd3v2S,Folklore Boliviano,660,86,Walter Zetzsche,1278369470,Selección de musica boliviana. Principalmente andina pero un poco más.
3b9zB3X9JQPxrznZD5lfxy,TINKU'S  BOLIVIANOS,2275,101,Rodolfo M. Arze Flores,rodoarze,"El Tinku es una ceremonia milenaria, que se festeja en la región andina de Bolivia (actualmente en los departamentos de Potosí y Oruro). La palabra “Tinku” significa “encuentro” en Quechua (lengua descendiente de la civilización Inca VIVA BOLIVIA"
4HL8IlbzOCGx28j5zHkI9U,Musica Nacional Boliviana,1066,50,Dragon Raul,12149279058,"Las canciones que no tienen tiempo, que siempre serán las representativas de Bolivia"
773iDD9rdBq6B3bgzCwklP,Chacareras bolivianas,1125,52,Ángel Reyes Gómez,11120039346,
37i9dQZF1DXcaON5GWABL3,Top Canciones Bolivia 2019,2735,50,Spotify,spotify,Las canciones más escuchadas del año. Foto: Mau y Ricky.
5F6eeNiqNLD6cdgJ7S9GWJ,MORENADAS BOLIVIANAS,1064,197,Rodolfo M. Arze Flores,rodoarze,
2Rq5AIA81iwvXN1kVRE5Eb,Nacionales Bolivia,610,103,Ross Rojas Romero,22crdvobbeel3sgt4uouheyja,
37i9dQZF1DX2LWCSft2vqi,Top Artistas Bolivia 2019,1782,50,Spotify,spotify,Los artistas más escuchados del año. Foto: Bad Bunny.
5q6nmqaLJqtiWJwbv9I8i0,SALAY 🇧🇴 BOLIVIA LA PAZ,1604,13,Luis Fernando Garcia,12132490305,MUSICA FOLKLORICA BOLIVIANA
37i9dQZF1DX3JGBBuBxYKW,Cumbieras,40216,65,Spotify,spotify,"Reinas de la cumbia, de hoy y de siempre. Foto: Miss Bolivia."
3YtUz8kPK4hs916Vy4qWVp,SALAY BOLIVIA,67,32,Omar Canaza,31czvhziyfvtquc53j4y3is6j75q,
5KvklFtZxPGzukUyA2xQCT,🇧🇴CUECAS BOLIVIANAS🇧🇴,202,28,Mike,iyz75yrn91fmjsfby2g04ydan,
3hIDaIALu7oy2rn7OM0i1n,MIX CUMBIA BOLIVIANA,152,39,MAY,5j13z991iau1bvs4l6qx63yr7,
6p55on67kcTyHOvBCJaQjj,Música boliviana  🇧🇴,206,91,Matilde Condori Loza,31rwrgs6xr4zjqmzhe2lvhiq4ezu,"música folcklorica : las mejores cuecas , morenadas, caporales, tinkus, más y más folckore .  Artistas: Kjarkas , Willy claure , Chila jatun , Bonanza , Tupay y más. "
211g8JAEFEqB9HnJyqSA3R,Rock Boliviano,1823,265,Daniel Arancibia,danielarancibiamusic,
2jRZYqVnZ39MlV4uoMaUpP,Los Enanitos Verdes — Lamento Boliviano,478,115,Mariana Córdova,marinita_27-mx,
2UE51y00U1F589ytZSq6gw,Huaynos Bolivianos,276,56,Franco Luna Jara,21w6gqflc3lce46qcuspcnx2a,
5m0C3CDYhOt20lbyGLTpiy,CUMBIA BOLIVIANA ANTIGUA,288,96,12157891201,12157891201,
1lVWNxsB3oONMDr9csg6jQ,Lamento Boliviano,34,36,Monica Rodriguez,12144560956,
5X37Zv0r4RqMcrvup19NAI,Cuecas Bolivianas,1083,56,Alex Caballero,1232538265,
65vCOvbKY2rsOYUXdsEJyX,CUMBIAS BOLIVIANAS DE LOS 90,157,232,Gregorio Mollericona,21xg3743g3jg3cafv6j32ofya,
3mEcFXW5IE5IKxXQQBgO2F,Caporales Bolivia,194,64,12141918928,12141918928,"Caporales Bolivia San Simon, Sambos, CBN, Centralistas, ENAF"
3IsL5jwux8IR0FFmQ0iO5C,musicas Nacionales Bolivianas,85,71,Marydanitza,d0lkkx7robtn0tgtwhsf3ij44,
0t3mcXp84obQ94aePxoj9Z,Música Folclórica de Bolivia,184,73,Maite Monasterios Medrano,12177428216,
1d29qW0wQRs5Oqi8Fobj8X,Folclore boliviano bailable,175,44,Hayvilmacruz,vsl5dfgfje9l0orxjz8ompcfm,
2uWefhSt0FzL1GuY5QAkXd,Charango Boliviano,614,327,luchomusica2010,luchomusica2010,Este es el sitio de los enamorados de este bello instrumento boliviano el charango
61j7OdOYSOdPsSphgLSIoD,rock boliviano,308,84,Hugo Escobar Carreño,12147836104,"lo mejor octavia, oz, llegas, etc"
1Sl9Ov25YF5yMHvbtZSZqq,Proyeccion de bolivia,346,9,Julio Alfredo Segil,julial2904,
6sGsiDWCrnnHWOoZ7YfJyF,Música Boliviana,859,477,Danne Grönskog,118461213,"Una compilacion de canciones bolivianas para disfrutar y amar nuestra patria querida, amada Bolivia en toda su grandeza."
3b4KDYkJL2u9mu1sdKGQVI,Mix Morenadas Bolivia   2020,124,33,Ever Cbba,22uohjjipnxywg5ldp33ice3q,
